count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
214, 0, 26.401, -42.833,  0.000,  0.000, -0.000,  0.598, 
215, 0, 26.690, -42.567,  0.000,  0.000, -0.000,  0.758, 
216, 0, 26.922, -42.251,  0.000,  0.000, -0.000,  0.955, 
217, 0, 27.102, -41.910,  0.000,  0.000, -0.000,  1.096, 
218, 0, 27.228, -41.540,  0.000,  0.000, -0.000,  1.258, 
219, 0, 27.280, -41.164,  0.000,  0.000, -0.000,  1.435, 
220, 0, 27.269, -40.763,  0.000,  0.000, -0.000,  1.599, 
221, 0, 27.247, -40.364,  0.000,  0.000, -0.000,  1.617, 
222, 0, 27.246, -39.964,  0.000,  0.000, -0.000,  1.567, 
223, 0, 27.262, -39.566,  0.000,  0.000, -0.000,  1.533, 
224, 0, 27.273, -39.166,  0.000,  0.000, -0.000,  1.540, 
225, 0, 27.283, -38.766,  0.000,  0.000, -0.000,  1.548, 
226, 0, 27.283, -38.368,  0.000,  0.000, -0.000,  1.576, 
227, 0, 27.270, -37.993,  0.000,  0.000, -0.000,  1.601, 
228, 0, 27.252, -37.604,  0.000,  0.000, -0.000,  1.613, 
229, 0, 27.239, -37.204,  0.000,  0.000, -0.000,  1.603, 
230, 0, 27.228, -36.806,  0.000,  0.000, -0.000,  1.596, 
231, 0, 27.232, -36.409,  0.000,  0.000, -0.000,  1.556, 
232, 0, 27.251, -36.011,  0.000,  0.000, -0.000,  1.525, 
233, 0, 27.272, -35.615,  0.000,  0.000, -0.000,  1.519, 
234, 0, 27.289, -35.218,  0.000,  0.000, -0.000,  1.532, 
235, 0, 27.295, -34.818,  0.000,  0.000, -0.000,  1.553, 
236, 0, 27.295, -34.422,  0.000,  0.000, -0.000,  1.572, 
237, 0, 27.294, -34.030,  0.000,  0.000, -0.000,  1.574, 
238, 0, 27.299, -33.642,  0.000,  0.000, -0.000,  1.560, 
239, 0, 27.303, -33.246,  0.000,  0.000, -0.000,  1.560, 
240, 0, 27.309, -32.851,  0.000,  0.000, -0.000,  1.555, 
241, 0, 27.314, -32.464,  0.000,  0.000, -0.000,  1.561, 
242, 0, 27.317, -32.068,  0.000,  0.000, -0.000,  1.565, 
243, 0, 27.316, -31.665,  0.000,  0.000, -0.000,  1.574, 
244, 0, 27.305, -31.279,  0.000,  0.000, -0.000,  1.599, 
245, 0, 27.282, -30.886,  0.000,  0.000, -0.000,  1.630, 
246, 0, 27.241, -30.493,  0.000,  0.000, -0.000,  1.674, 
247, 0, 27.193, -30.091,  0.000,  0.000, -0.000,  1.690, 
248, 0, 27.129, -29.709,  0.000,  0.000, -0.000,  1.743, 
249, 0, 27.059, -29.318,  0.000,  0.000, -0.000,  1.745, 
250, 0, 26.992, -28.929,  0.000,  0.000, -0.000,  1.742, 
251, 0, 26.896, -28.546,  0.000,  0.000, -0.000,  1.830, 
252, 0, 26.751, -28.179,  0.000,  0.000, -0.000,  1.951, 
253, 0, 26.577, -27.832,  0.000,  0.000, -0.000,  2.032, 
254, 0, 26.389, -27.488,  0.000,  0.000, -0.000,  2.070, 
255, 0, 26.183, -27.166,  0.000,  0.000, -0.000,  2.148, 
256, 0, 25.944, -26.859,  0.000,  0.000, -0.000,  2.237, 
257, 0, 25.685, -26.568,  0.000,  0.000, -0.000,  2.301, 
258, 0, 25.406, -26.299,  0.000,  0.000, -0.000,  2.377, 
259, 0, 25.118, -26.035,  0.000,  0.000, -0.000,  2.397, 
