count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
53, 0, -9.795, -126.833,  0.000, 
53, 0, -12.693, -124.067,  0.000, 
53, 0, -12.158, -119.422,  0.000, 
53, 0, -11.126, -125.860,  0.000, 
53, 0, -17.113, -125.372,  0.000, 
53, 0, -12.575, -124.069,  0.000, 
53, 0, -12.122, -110.117,  0.000, 

54, 0, -17.150, -126.073,  0.000, 
54, 0, -16.030, -122.506,  0.000, 
54, 0, -9.800, -126.555,  0.000, 
54, 0, -12.622, -124.067,  0.000, 
54, 0, -12.315, -119.389,  0.000, 
54, 0, -11.140, -125.947,  0.000, 
54, 0, -17.173, -125.364,  0.000, 
54, 0, -12.621, -124.027,  0.000, 
54, 0, -17.019, -124.411,  0.000, 
54, 0, -18.089, -97.384,  0.000, 
54, 0, -19.928, -106.947,  0.000, 
54, 0, -15.898, -122.519,  0.000, 
54, 0, -12.263, -119.360,  0.000, 

55, 0, -17.121, -125.432,  0.000, 
55, 0, -15.993, -122.530,  0.000, 
55, 0, -11.141, -125.856,  0.000, 
55, 0, -12.629, -124.057,  0.000, 
55, 0, -12.327, -119.351,  0.000, 
55, 0, -17.074, -125.009,  0.000, 
55, 0, -17.067, -124.369,  0.000, 
55, 0, -15.915, -122.497,  0.000, 
55, 0, -12.592, -124.070,  0.000, 
55, 0, -11.146, -125.776,  0.000, 
55, 0, -17.184, -123.768,  0.000, 
55, 0, -17.120, -125.950,  0.000, 
55, 0, -17.021, -123.382,  0.000, 
55, 0, -17.176, -123.246,  0.000, 

56, 0, -17.109, -125.254,  0.000, 
56, 0, -16.119, -122.535,  0.000, 
56, 0, -11.156, -125.611,  0.000, 
56, 0, -12.644, -124.073,  0.000, 
56, 0, -12.486, -119.315,  0.000, 
56, 0, -17.079, -124.927,  0.000, 
56, 0, -17.026, -124.225,  0.000, 
56, 0, -15.959, -122.524,  0.000, 
56, 0, -17.136, -125.665,  0.000, 
56, 0, -17.011, -123.394,  0.000, 
56, 0, -11.157, -125.756,  0.000, 
56, 0, -17.198, -123.796,  0.000, 
56, 0, -19.938, -106.968,  0.000, 

57, 0, -17.075, -124.956,  0.000, 
57, 0, -16.009, -122.586,  0.000, 
57, 0, -11.117, -125.086,  0.000, 
57, 0, -12.618, -124.016,  0.000, 
57, 0, -12.408, -119.332,  0.000, 
57, 0, -16.983, -123.095,  0.000, 
57, 0, -17.175, -123.426,  0.000, 
